TRINITY_DN0_c12_g1	GO:0003674,GO:0005085,GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007,GO:0098772
TRINITY_DN16865_c0_g1	GO:0003674,GO:0004857,GO:0004866,GO:0004869,GO:0030234,GO:0030414,GO:0061134,GO:0061135,GO:0098772
TRINITY_DN1686_c1_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN16873_c2_g1	GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616,GO:0047834
TRINITY_DN1688_c0_g1	GO:0003674,GO:0003779,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005856,GO:0006996,GO:0007010,GO:0008092,GO:0008150,GO:0009987,GO:0016043,GO:0030029,GO:0030036,GO:0030865,GO:0030866,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0071840,GO:1902589
TRINITY_DN16893_c1_g1	GO:0003674,GO:0003824,GO:0016409,GO:0016740,GO:0016746,GO:0016747
TRINITY_DN16897_c0_g1	GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN1689_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1689_c2_g1	GO:0000776,GO:0005575,GO:0006461,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0032991,GO:0034622,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043234,GO:0043623,GO:0043933,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0051276,GO:0051382,GO:0051383,GO:0065003,GO:0070925,GO:0071822,GO:0071840
TRINITY_DN168_c17_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN168_c1_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN168_c1_g2	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042393,GO:0042623,GO:0043167,GO:0043168,GO:0070615,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN168_c1_g3	GO:0003674,GO:0005488,GO:0005515,GO:0042393
TRINITY_DN168_c4_g1	GO:0007165,GO:0008150,GO:0009987,GO:0035556,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN169046_c0_g1	GO:0005575,GO:0007154,GO:0008150,GO:0009987,GO:0016021,GO:0031224,GO:0044425
TRINITY_DN1690_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1690_c0_g2	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN16915_c0_g2	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0005488,GO:0005575,GO:0005694,GO:0006139,GO:0006259,GO:0006265,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016853,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0051276,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN16927_c0_g2	GO:0003674,GO:0005488,GO:0005515,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0019899,GO:0031267,GO:0033036,GO:0042886,GO:0045184,GO:0046907,GO:0051020,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0071702,GO:0071705
TRINITY_DN1692_c0_g1	GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0046872,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN1693_c0_g1	GO:0003674,GO:0005085,GO:0008150,GO:0009966,GO:0010646,GO:0023051,GO:0032012,GO:0046578,GO:0048583,GO:0050789,GO:0050794,GO:0051056,GO:0065007,GO:0098772,GO:1902531
TRINITY_DN1694_c0_g1	GO:0000166,GO:0003674,GO:0003774,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0016459,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043234,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN16960_c0_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN169616_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN16967_c0_g1	GO:0003674,GO:0003824,GO:0003950,GO:0016740,GO:0016757,GO:0016763
TRINITY_DN16976_c2_g1	GO:0003674,GO:0005488,GO:0005509,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN16978_c0_g1	GO:0003674,GO:0005488,GO:0005509,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN169802_c0_g1	GO:0005575,GO:0006810,GO:0008150,GO:0016020,GO:0051179,GO:0051234,GO:0055085
TRINITY_DN16995_c1_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1699_c8_g2	GO:0000166,GO:0000184,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003723,GO:0003724,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0005575,GO:0005737,GO:0006139,GO:0006401,GO:0006402,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010468,GO:0010605,GO:0010629,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019222,GO:0019439,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0046872,GO:0046914,GO:0048519,GO:0050789,GO:0060255,GO:0065007,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901575
TRINITY_DN169_c0_g1	GO:0005575,GO:0016021,GO:0031224,GO:0044425
TRINITY_DN16_c0_g1	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0008233,GO:0008237,GO:0016787,GO:0070011,GO:0070122
TRINITY_DN17003_c1_g1	GO:0000151,GO:0000152,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005680,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009057,GO:0009987,GO:0010498,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0030163,GO:0031145,GO:0031461,GO:0032991,GO:0043161,GO:0043167,GO:0043169,GO:0043170,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046872,GO:0046914,GO:0051603,GO:0061630,GO:0061659,GO:0071704,GO:0097602,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1990234
TRINITY_DN1700_c0_g1	GO:0003674,GO:0005096,GO:0008047,GO:0008150,GO:0009966,GO:0010646,GO:0023051,GO:0030234,GO:0030695,GO:0043085,GO:0043087,GO:0043547,GO:0044093,GO:0048583,GO:0050789,GO:0050790,GO:0050794,GO:0051056,GO:0051336,GO:0051345,GO:0060589,GO:0065007,GO:0065009,GO:0098772,GO:1902531
TRINITY_DN17011_c0_g2	GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN17013_c5_g1	GO:0005575,GO:0005839,GO:0006508,GO:0006511,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0019538,GO:0019773,GO:0019941,GO:0032991,GO:0043170,GO:0043234,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044424,GO:0044464,GO:0051603,GO:0071704,GO:1901564,GO:1901575
TRINITY_DN1701_c2_g1	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0019538,GO:0030529,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904
TRINITY_DN17022_c0_g1	GO:0003674,GO:0005102,GO:0005179,GO:0005488,GO:0005515,GO:0005575,GO:0005576
TRINITY_DN17026_c1_g1	GO:0003674,GO:0005488,GO:0005539,GO:0005540,GO:0007155,GO:0008150,GO:0022610,GO:0031406,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0097367
TRINITY_DN17028_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1703_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17059_c0_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN1705_c1_g1	GO:0005575,GO:0005789,GO:0016020,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464
TRINITY_DN17065_c2_g1	GO:0008150,GO:0008152,GO:0044699,GO:0044710,GO:0055114
TRINITY_DN1706_c0_g1	GO:0003674,GO:0003824,GO:0016787,GO:0016788
TRINITY_DN17071_c0_g1	GO:0005575,GO:0005839,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0019538,GO:0032991,GO:0043170,GO:0043234,GO:0044238,GO:0044424,GO:0044464,GO:0051603,GO:0071704,GO:1901564
TRINITY_DN17072_c1_g1	GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005575,GO:0008324,GO:0015075,GO:0015267,GO:0016020,GO:0022803,GO:0022838,GO:0022857,GO:0022891,GO:0022892
TRINITY_DN17076_c0_g1	GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN17076_c1_g1	GO:0003674,GO:0005488,GO:0005515,GO:0008150,GO:0010941,GO:0042981,GO:0043067,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN17077_c0_g1	GO:0003674,GO:0003824,GO:0004620,GO:0006629,GO:0006644,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009056,GO:0009395,GO:0009987,GO:0016042,GO:0016298,GO:0016787,GO:0016788,GO:0019637,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046434,GO:0071704,GO:1901575
TRINITY_DN1707_c2_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17085_c0_g2	GO:0003674,GO:0003676,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005488,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0097159,GO:1901363
TRINITY_DN1708_c0_g1	GO:0003674,GO:0003824,GO:0016829
TRINITY_DN17097_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1709_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17100_c1_g1	GO:0003674,GO:0003676,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN17101_c2_g2	GO:0003674,GO:0005092,GO:0007165,GO:0007264,GO:0008150,GO:0009987,GO:0030234,GO:0030695,GO:0035556,GO:0050789,GO:0050794,GO:0060589,GO:0065007,GO:0098772
TRINITY_DN17103_c0_g2	GO:0003674,GO:0004872,GO:0005215,GO:0005216,GO:0005230,GO:0005575,GO:0006810,GO:0006811,GO:0008150,GO:0015075,GO:0015267,GO:0015276,GO:0016021,GO:0022803,GO:0022834,GO:0022836,GO:0022838,GO:0022857,GO:0022891,GO:0022892,GO:0031224,GO:0044425,GO:0051179,GO:0051234,GO:0060089,GO:0099600
TRINITY_DN17113_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0005575,GO:0005576,GO:0006082,GO:0006139,GO:0006399,GO:0006418,GO:0006520,GO:0006725,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0008289,GO:0009987,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0042157,GO:0043038,GO:0043039,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0044765,GO:0046483,GO:0051179,GO:0051234,GO:0071702,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1902578
TRINITY_DN17114_c1_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN17116_c0_g1	GO:0008150,GO:0008152,GO:0044699,GO:0044710,GO:0055114
TRINITY_DN17125_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17129_c1_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17129_c1_g2	GO:0000166,GO:0003674,GO:0003774,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0016459,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043234,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1712_c0_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006351,GO:0006366,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097659,GO:1901360,GO:1901362,GO:1901363,GO:1901576
TRINITY_DN17130_c0_g2	GO:0005575,GO:0007165,GO:0008150,GO:0009987,GO:0016021,GO:0031224,GO:0044425,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN17131_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0005516,GO:0008017,GO:0008092,GO:0008150,GO:0009987,GO:0015631,GO:0016043,GO:0030030,GO:0030507,GO:0031175,GO:0044699,GO:0044763,GO:0071840
TRINITY_DN17132_c0_g1	GO:0000166,GO:0003674,GO:0005488,GO:0036094,GO:0048037,GO:0050662,GO:0051287,GO:0097159,GO:1901265,GO:1901363
TRINITY_DN1713_c0_g1	GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN17140_c0_g1	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0016787,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN17149_c0_g1	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0016021,GO:0016485,GO:0016787,GO:0019538,GO:0031224,GO:0043170,GO:0044238,GO:0044425,GO:0051604,GO:0070001,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN17152_c0_g1	GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006355,GO:0008150,GO:0008270,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043167,GO:0043169,GO:0043565,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN17153_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN17167_c0_g1	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008270,GO:0016787,GO:0019538,GO:0031012,GO:0043167,GO:0043169,GO:0043170,GO:0044238,GO:0044421,GO:0046872,GO:0046914,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN1716_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17170_c0_g1	GO:0005575,GO:0016021,GO:0031224,GO:0044425
TRINITY_DN17171_c0_g1	GO:0000166,GO:0003674,GO:0003676,GO:0005488,GO:0005524,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN17172_c0_g1	GO:0003674,GO:0005198,GO:0005575,GO:0005643,GO:0017056,GO:0032991,GO:0043234,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464
TRINITY_DN17184_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17186_c0_g2	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN171903_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0006457,GO:0006461,GO:0007021,GO:0007023,GO:0008092,GO:0008150,GO:0009987,GO:0015631,GO:0016043,GO:0022607,GO:0034622,GO:0043623,GO:0043933,GO:0048487,GO:0065003,GO:0071822,GO:0071840
TRINITY_DN17193_c0_g3	GO:0003674,GO:0003824,GO:0005575,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0008417,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044710,GO:0044763,GO:0070085,GO:0071704,GO:1901564
TRINITY_DN17195_c1_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN172017_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005929,GO:0031514,GO:0042995,GO:0043226,GO:0044464,GO:0120025
TRINITY_DN1720_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN17215_c0_g1	GO:0000166,GO:0003674,GO:0005488,GO:0036094,GO:0043167,GO:0043168,GO:0048037,GO:0050662,GO:0051287,GO:0070403,GO:0097159,GO:1901265,GO:1901363
TRINITY_DN17216_c0_g3	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0016020,GO:0016787,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:1901564
TRINITY_DN17219_c0_g1	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1721_c0_g1	GO:0003674,GO:0003676,GO:0003824,GO:0005488,GO:0008270,GO:0043167,GO:0043169,GO:0046872,GO:0046914,GO:0097159,GO:1901363
TRINITY_DN17220_c0_g1	GO:0008150,GO:0008152,GO:0044699,GO:0044710,GO:0055114
TRINITY_DN1722_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN1723_c1_g1	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1723_c2_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN172464_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17256_c0_g2	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005524,GO:0016787,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1726_c0_g2	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005515,GO:0005525,GO:0007165,GO:0007186,GO:0008150,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0031683,GO:0032403,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044877,GO:0050789,GO:0050794,GO:0065007,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1726_c13_g1	GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0030030,GO:0030031,GO:0044699,GO:0044763,GO:0044782,GO:0060271,GO:0070925,GO:0071840,GO:1902589
TRINITY_DN17270_c0_g1	GO:0000988,GO:0000989,GO:0003674,GO:0003712,GO:0005575,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0016592,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032991,GO:0043234,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN172732_c0_g1	GO:0006996,GO:0007005,GO:0008053,GO:0008150,GO:0009987,GO:0016043,GO:0044699,GO:0044763,GO:0044801,GO:0044802,GO:0048284,GO:0061024,GO:0061025,GO:0071840,GO:1902589
TRINITY_DN17273_c0_g2	GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0008150,GO:0008152,GO:0016491,GO:0043167,GO:0043169,GO:0044699,GO:0044710,GO:0046872,GO:0055114
TRINITY_DN1729_c1_g2	GO:0005575,GO:0016021,GO:0031224,GO:0044425
TRINITY_DN172_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN173036_c0_g1	GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN17308_c1_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN17315_c0_g1	GO:0003674,GO:0005102,GO:0005179,GO:0005488,GO:0005515,GO:0005575,GO:0005576
TRINITY_DN1731_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN1731_c1_g1	GO:0003674,GO:0005488,GO:0005515
